KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,1,0,1,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,31848,115928,83525,27772,87501,80293,111252,222282,0,0,239599
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,2,1,2,"Snack dan Makan Rapat (1 pkt x 12 orang x 4 kali)",A,0,,0,,0,,0,,48,ok,75000,3600000,,0,B07,0,110242,401290,289126,96135,302887,277937,385102,769436,835563,0,132282
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,3,2,3,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,24498,89176,64250,21363,67308,61764,85578,170986,185681,148405,80991
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,4,3,4,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,24498,89176,64250,21363,67308,61764,85578,170986,185681,148405,80991
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,5,4,5,"Perlengkapan Peserta (1 pkt x 60 orang x 1 kali)",A,0,,0,,0,,0,,60,ok,125000,7500000,,0,B07,0,183736,668817,481877,160224,504812,463228,641836,1282394,1392605,1113041,607430
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,1,0,10,Penggandaan,A,0,,0,,0,,0,,1,pkt,1500000,1500000,,0,B07,0,36747,133763,96375,32045,100962,92646,128367,256479,278521,222608,121487
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,2,1,11,"Makan dan snack Rapat (1 pkt x 12 orang x 4 kali)",A,0,,0,,0,,0,,48,ok,75000,3600000,,0,B07,0,124941,454796,327676,108953,343272,314995,436449,872028,0,0,616890
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,3,2,12,ATK,A,0,,0,,0,,0,,1,pkt,1500000,1500000,,0,B07,0,36747,133763,96375,32045,100962,92646,128367,256479,278521,222608,121487
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,4,3,13,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,24498,89176,64250,21363,67308,61764,85578,170986,185681,148405,80991
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,5,4,14,"Perlengkapan Peserta (1 pkt x 26 org x 2 kali)",A,0,,0,,0,,0,,52,ok,118000,6136000,,0,B07,0,159238,579642,417626,138861,437504,401464,556258,1111408,1206924,600635,526440
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,1,0,19,Penggandaan,A,0,,0,,0,,0,,1,pkt,518000,518000,,0,B07,0,12249,44588,32125,10682,33654,30882,42789,85493,92840,74203,58495
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,2,1,20,"Snack dan Makan Rapat  (1 pkt x 15 orang x 3 kali)",A,0,,0,,0,,0,,45,ok,75000,3375000,,0,B07,0,110242,401290,289126,96135,302887,277937,385102,769436,0,0,742845
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,3,2,21,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,24498,89176,64250,21363,67308,61764,85578,170986,185681,148405,80991
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,4,3,22,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B07,0,24498,89176,64250,21363,67308,61764,85578,170986,185681,148405,80991
