KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,1,0,1,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,2,1,2,"Snack dan Makan Rapat (1 pkt x 20 orang x 4 kali)",A,0,,0,,0,,0,,80,ok,69000,5520000,,0,B00,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,3,2,3,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,4,3,4,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,5,4,5,"Perlengkapan Peserta (1 pkt x 40 orang x 1 kali)",A,0,,0,,0,,0,,40,ok,75000,3000000,,0,B00,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,1,0,10,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,2,1,11,"Makan dan snack Rapat (1 pkt x 20 orang x 4 kali)",A,0,,0,,0,,0,,80,ok,69000,5520000,,0,B00,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000,460000
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,3,2,12,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,4,3,13,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,5,4,14,"Perlengkapan Peserta (1 pkt x 40 orang x 1 kali)",A,0,,0,,0,,0,,40,ok,75000,3000000,,0,B00,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,1,0,19,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,2,1,20,"Snack dan Makan Rapat  (1 pkt x 15 orang x 2 kali)",A,0,,0,,0,,0,,30,ok,69000,2070000,,0,B00,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,178000
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,3,2,21,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B00,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,87000
