kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"427551","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0601","2",27570000
"427551","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0601","2",90630000
"403817","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0855","2",232980000
"403817","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0855","2",653172000
"427573","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0805","2",198031000
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",332480000
"427573","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0805","2",1036033000
"403817","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0855","2",2070000
"403817","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0855","2",18960000
"427573","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0805","2",6000
"427573","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0805","2",68655000
"403823","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1151","2",192695000
"403823","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","1151","2",123368000
"403823","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1151","2",799100000
"403823","032","03212","522141","03212DL","2375","QJA","2","A","0","00000001","1151","2",3200000
"403823","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1151","2",515256000
"652009","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1206","2",432792000
"652009","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","1206","2",30000000
"652009","032","03212","521832","03212DL","2376","SAC","2","A","0","00000001","1206","2",454360000
"652009","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","1206","2",638000
"652009","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","1206","2",4500000
"652009","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1206","2",108000000
"652009","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1206","2",2173260000
"403824","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0210","2",617285000
"403832","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","0211","2",24353000
"653526","032","03212","521131","03212WA","2378","EBA","2","A","0","00000001","0211","2",3000000
"403824","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0210","2",2400000
"403824","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0210","2",92640000
"653526","032","03212","524111","03212WA","4345","EBC","2","D","0","00000001","0211","2",81370000
"403824","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","0210","2",105000000
"653526","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0211","2",269000000
"653526","032","03212","522141","03212WA","4345","EBC","2","A","0","00000001","0211","2",91870000
"403824","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0210","2",36000000
"653526","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0211","2",50000000
"403832","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0211","2",85010000
"653526","032","03212","521211","03212WA","4345","EBC","2","A","0","00000001","0211","2",889510000
"403832","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0211","2",30759000
"403832","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0211","2",120000
"653526","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0211","2",38000000
"403832","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0211","2",80100000
"403830","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0258","2",21560000
"403829","032","03212","521211","03212DL","2375","QDD","2","A","0","00000001","0252","2",298724000
"403830","032","03212","524111","03212WA","2378","EBC","2","A","0","00000001","0258","2",8960000
"403829","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0252","2",516825000
"403830","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0258","2",26000
"403830","032","03212","521254","03212WA","2378","EBA","2","A","0","00000001","0258","2",180415000
"403829","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0252","2",45010000
"403830","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0258","2",1080000
"403829","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0252","2",127080000
"403829","032","03212","534121","03212DL","2375","RAL","2","D","0","00000001","0252","2",20091000
"403830","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0258","2",113240000
"403830","032","03212","522151","03212WA","2378","EBA","2","A","0","00000001","0258","2",2900000
"403879","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0222","2",900000
"403879","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0222","2",352597000
"403879","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","0222","2",1422510000
"403834","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0401","2",42000
"403834","032","03212","524111","03212WA","2378","EBC","2","A","0","00000001","0401","2",19420000
"403834","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","0401","2",7200000
"403826","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","2251","2",1560000
"403826","032","03212","522192","03212WA","2378","EBA","2","A","0","00000001","2251","2",2030000
"403826","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","2251","2",48712000
"403826","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","2251","2",6895000
"403826","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2251","2",13103000
"403826","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","2251","2",78036000
