kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"239188","032","03212","424118","0000000","0000","000","0","0","0","00000000","0000","2",481680000
"238741","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",340800000
"238741","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",33800000
"238755","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",405600000
"238755","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",46055000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1597000
"652009","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",16558000
"403828","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",381950000
"403829","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",90614000
"403833","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",7500000
"403835","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",55000000
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",15000000
"403838","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",40500000
"403875","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",12118000
"403879","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",25200000
"237373","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",282645000
"239260","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1545000
"239260","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",166320000
"427511","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",804150000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14384000
"427573","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",46477000
"652009","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",488999000
"622035","032","03212","424911","0000000","0000","000","0","0","0","00000000","0000","2",12001000
"622035","032","03212","424924","0000000","0000","000","0","0","0","00000000","0000","2",18600000
"403824","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",21000000
"403879","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",330000000
"352595","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",4000000
"239188","032","03212","424923","0000000","0000","000","0","0","0","00000000","0000","2",596896000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",38990000
"427573","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4000000
"427573","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",28250000
"427618","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"427618","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",182305000
"427618","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18500000
"427618","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",190730000
"427630","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",57200000
"427630","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",10560000
"653526","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",24000000
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"403827","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",419975000
"403832","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",5135000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",34763000
"403879","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"440013","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"239188","032","03212","424112","0000000","0000","000","0","0","0","00000000","0000","2",5491435000
"238755","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",118694000
"238010","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",36500000
"427511","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",180500000
"427511","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",24900000
"427551","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",10600000
"427573","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1556325000
"427573","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",72400000
"427618","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"427630","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",9426000
"622035","032","03212","424922","0000000","0000","000","0","0","0","00000000","0000","2",28000000
"622035","032","03212","424119","0000000","0000","000","0","0","0","00000000","0000","2",512400000
"622035","032","03212","424113","0000000","0000","000","0","0","0","00000000","0000","2",12000000
"634146","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",29600000
"634146","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",7000000
"403827","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",35000000
"403830","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",94500000
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",118000000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",10107000
"403875","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",54300000
"403875","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",32480000
"440013","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",276980000
"239188","032","03212","424924","0000000","0000","000","0","0","0","00000000","0000","2",43149000
"239188","032","03212","424929","0000000","0000","000","0","0","0","00000000","0000","2",8000000
"238762","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",1229500000
"238010","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"238010","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",44400000
"427511","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",747000000
"427511","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",780928000
"427551","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",37400000
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14000000
"427582","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",111858000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",21915000
"652009","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",192000000
"622035","032","03212","424118","0000000","0000","000","0","0","0","00000000","0000","2",2354000000
"622035","032","03212","424919","0000000","0000","000","0","0","0","00000000","0000","2",10300000
"403817","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",5165000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3344000
"403823","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",13060000
"403829","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1319000
"403837","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",40000000
"403838","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",6300000
"403838","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",13000000
"352595","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",6087000
"352595","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",2750000
"440013","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",50800000
"239188","032","03212","424911","0000000","0000","000","0","0","0","00000000","0000","2",16540000
"239188","032","03212","424919","0000000","0000","000","0","0","0","00000000","0000","2",553808000
