kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/01/2023,261258640
"427551","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/03/2023,3956
"427551","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0601","2",28/02/2023,18427400
"427551","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/04/2023,16511760
"427551","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0601","2",28/04/2023,7490071
"427551","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/05/2023,16511760
"427551","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/06/2023,540000
"427551","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","0601","2",06/06/2023,5000
"427551","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0601","2",20/06/2023,12316000
"403817","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/02/2023,900000
"403817","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/03/2023,21580000
"427573","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0805","2",21/03/2023,204904251
"403817","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/04/2023,44239200
"427573","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0805","2",05/04/2023,12311400
"427573","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/05/2023,12311400
"403817","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/05/2023,722
"403817","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0855","2",26/04/2023,7581507
"427573","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/06/2023,540000
"427573","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0805","2",06/06/2023,432560
"427573","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0805","2",12/06/2023,65410374
"403817","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0855","2",05/07/2023,15010500
"427573","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0805","2",13/07/2023,8344000
"403823","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/01/2023,28693121
"403823","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1151","2",02/02/2023,35288000
"403823","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/02/2023,72999360
"403823","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1151","2",15/02/2023,3064000
"403823","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/03/2023,2551190
"403823","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","1151","2",03/03/2023,237498129
"403823","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1151","2",07/03/2023,692356
"403823","032","03212","521219","03212DL","2375","QDD","2","A","0","00000001","1151","2",08/03/2023,2281279
"403823","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1151","2",04/04/2023,32367000
"403823","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","1151","2",06/04/2023,600000
"403823","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/05/2023,35740000
"403823","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1151","2",26/05/2023,659900
