kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",22/05/2023,1851480
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",17/07/2023,57000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",05/05/2023,2000000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2023,1185000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2023,150000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",21/06/2023,3650000
"427582","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",20/06/2023,120000
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2023,1699043
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",09/03/2023,2000000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",15/05/2023,5000000
"239188","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",25/07/2023,153863150
"239188","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",25/07/2023,11379345
"238741","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2023,12000000
"403827","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",10/01/2023,980
"440013","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",22/05/2023,9200000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2023,956450
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/04/2023,4575354
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/05/2023,13500000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",21/03/2023,1950000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/05/2023,300000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",10/02/2023,6675000
"238010","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,4711010
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2023,990000
"239260","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",15/06/2023,7000000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/06/2023,3330000
"403833","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",30/03/2023,840000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",20/06/2023,5170000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",16/02/2023,95000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",27/04/2023,4075000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",20/07/2023,130000
